 Nascidos vivos - Brasil
Nascim p/resid.mãe por Ano do nascimento
Período:1996-2019
"Ano do nascimento";"Nascim_p/resid.mãe"
"1996";2945425
"1997";3026658
"1998";3148037
"1999";3256433
"2000";3206761
"2001";3115474
"2002";3059402
"2003";3038251
"2004";3026548
"2005";3035096
"2006";2944928
"2007";2891328
"2008";2934828
"2009";2881581
"2010";2861868
"2011";2913160
"2012";2905789
"2013";2904027
"2014";2979259
"2015";3017668
"2016";2857800
"2017";2923535
"2018";2944932
"2019";2849146
"Total";71667934
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
