 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Ano do Óbito
Período:1996-2019
"Ano do Óbito";"Óbitos_mulheres_idade_fértil"
"1996";64795
"1997";63421
"1998";64961
"1999";64485
"2000";63829
"2001";63742
"2002";64416
"2003";64029
"2004";64295
"2005";63542
"2006";63946
"2007";64079
"2008";65391
"2009";67116
"2010";66497
"2011";67006
"2012";66927
"2013";66790
"2014";65715
"2015";65328
"2016";67147
"2017";64366
"2018";63693
"2019";64258
"Total";1559774
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Todas as informações são por local de residência da falecida.
 Para definição de óbitos de mulheres em idade fértil, óbitos maternos e óbitos maternos tardios,
 veja as Notas Técnicas.
 Nos casos de inconsistência entre a causa materna declarada e o momento da morte (durante a gravidez, parto ou aborto, durante o puerpério
 até 42 dias, durante o puerpério, de 43 dias a 1 ano ou fora destes períodos), para efeito de determinação se óbito materno ou não,
 foi priorizada a informação sobre a causa.
 Os campos referentes ao momento da morte (43 e 44), apesar de estarem tendo sua qualidade de preenchimento melhorada,
 apresentam ainda elevado percentual de inconsistências ou não preenchimento.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
