"Ano do Óbito";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"1996";30;245;1685;1993;780;4733
"1997";28;300;1685;1813;762;4588
"1998";33;300;1662;1858;745;4598
"1999";29;272;1530;1801;716;4348
"2000";21;267;1469;1705;864;4326
"2001";29;275;1384;1824;912;4424
"2002";41;284;1432;1854;959;4570
"2003";28;283;1374;1797;1089;4571
"2004";35;282;1321;1840;1053;4531
"2005";36;282;1342;1821;1154;4635
"2006";38;279;1235;1839;1148;4539
"2007";31;245;1253;1858;1191;4578
"2008";37;278;1260;1963;1287;4825
"2009";35;313;1405;2018;1342;5113
"2010";37;298;1270;1971;1317;4893
"2011";35;283;1178;1981;1354;4831
"2012";40;254;1184;1852;1458;4788
"2013";27;292;1162;1897;1455;4833
"2014";28;270;1158;1948;1350;4754
"2015";24;286;1156;1888;1421;4775
"2016";25;253;1113;1865;1432;4688
"2017";17;245;1027;1804;1352;4445
"2018";22;232;999;1636;1261;4150
"2019";22;210;920;1548;1202;3902
"Total";728;6528;31204;44374;27604;110438
